Format,Disc,Artist,Song Title
PS3,Vol 2,The Cure,Pictures of You
PS2,Rock Ballads,Cutting Crew,(I Just) Died In Your Arms
PCSX2,Pop (US),Cyndi Lauper,Girls Just Wanna Have Fun
PS2,Party,Cyndi Lauper,Girls Just Wanna Have Fun
PS3,Dance,Cyndi Lauper,Girls Just Wanna Have Fun
PCSX2,80s (DE),Cyndi Lauper,She Bop
PS2,Rock Ballads,Cyndi Lauper,Time After Time
PCSX2,80s (US),Cyndi Lauper,Time After Time
PS2,Singstar,Daniel Bedingfield,If You're Not the One
PCSX2,Pop (US),Daniel Powter,Bad Day
PS3,Chartbreaker,Daryl Braithwaite,One Summer
PS3,Back To The 80s,Daryl Hall & John Oates,Maneater
PCSX2,Amped (DE),David Bowie,Changes
PS2,Summer Party,David Bowie,Let's Dance
PS3,Vol 3: Party Ed,David Bowie,Space Oddity
PS3,Chartbreaker,David Dundas,Jeans On
PS3,Motown,David Ruffin,Put A Little Love In Your Heart
PS2,Motown,David Ruffin,Put A Little Love In Your Heart
PS2,Anthems,Dead or Alive,You Spin Me Round (Like a Record)
PCSX2,80s (US),Dead or Alive,You Spin Me Round (Like a Record)
PS3,Back To The 80s,DeBarge,Rhythm Of The Night
PS2,Singstar,Deee-Lite,Groove Is in the Heart
PS3,Vol 3: Party Ed,Deep Blue Something,Breakfast At Tiffany's
PS2,Rocks!,Deep Purple,Smoke On The Water
PS3,Back To The 80s,Def Leppard,Animal
PS2,Hottest Hits,Delta Goodrem,You Will Only Break My Heart
PS3,Ultimate Party,Demi Lovato,Let It Go
PS3,Back To The 80s,Deniece Williams,Let's Hear It For The Boy
PS2,R & B,Destiny's Child,Bootylicious
PCSX2,Pop (US),Destiny's Child,Survivor
PS2,Party,Destiny's Child,Survivor
PS2,80s,Dexy's Midnight Runners,Come On Eileen
PS2,Summer Party,Diana Ross,I'm Coming Out
PS2,R & B,Diana Ross & The Supremes,Baby Love
PS3,Motown,Diana Ross & The Supremes,Reflections
PS2,Motown,Diana Ross & The Supremes,Reflections
PS3,Dance,Diana Ross and The Supremes,Baby Love
PS2,Singstar,Dido,Thank You
PS2,Party,Dido,White Flag
PS2,Summer Party,Dirty Pretty Things,Bang Bang You're Dead
PS3,Ultimate Party,Disclosure Feat. Aluna George,White Noise
PS2,90s,Divinyls,I Touch Myself
PCSX2,Pop Vol 2 (US),Dixie Chicks,Not Ready To Make Nice
PS3,Vol 3: Party Ed,Dizzee Rascal feat. Calvin Harris & Chrome,Dance Wiv Me
PCSX2,Rocks! (US),DJ Jazzy Jeff & The Fresh Prince,Summertime
PS2,R & B,DJ Jazzy Jeff & The Fresh Prince,Summertime
PS2,Summer Party,Dodgy,Good Enough
PS2,80s,Dolly Parton,9 to 5
PS2,Party,Duran Duran,Hungry Like the Wolf
PS2,Rock Ballads,Duran Duran,Ordinary World
PCSX2,Pop Vol 2 (US),Duran Duran,Ordinary World
PS2,80s,Duran Duran,Rio
PS3,Back To The 80s,Duran Duran,The Wild Boys
PCSX2,Rocks! (US),Dusty Springfield,Son Of A Preacher Man
PS2,Boy Bands vs Girl Bands,East 17,Let It Rain
PS2,Boy Bands vs Girl Bands,East 17,Stay Another Day
PS3,Ultimate Party,Ed Sheeran,Lego House
PS2,R & B,Edwin Starr,War
PS3,Chartbreaker,Eighth Wonder,I'm Not Scared
PS3,Ultimate Party,Ellie Goulding,Burn
PS3,Back To The 80s,Elton John,I Guess That's Why They Call It The Blues
PS2,Summer Party,Elton John,I'm Still Standing
PCSX2,Rocks! (US),Elton John,Rocket Man
PS2,Party,Elton John & Kiki Dee,Don't Go Breaking My Heart
PS2,Singstar,Elvis Presley,Suspicious Minds
PS2,Party,Elvis Presley,Way Down
PS2,90s,EMF,Unbelievable
PS3,Chartbreaker,Emilia,Big Big World
PS3,Vol 2,Eminem,Without Me
PS2,Boy Bands vs Girl Bands,En Vogue,Free Your Mind
PCSX2,90s (US),En Vogue,Free Your Mind
PS2,R & B,En Vogue,My Lovin'
PS2,80s,Erasure,A Little Respect
PS2,Popworld,Eric B. & Rakim,Paid In Full
PS2,Rock Ballads,Europe,Carrie
PS2,80s,Europe,The Final Countdown
PCSX2,Pop Vol 2 (US),Evanesence,Bring Me To Life
PCSX2,90s (US),Extreme,More Than Words
PS2,80s,Fairground Attraction,Perfect
PCSX2,Singstar (DE),Falco,Rock Me Amadeus
PCSX2,Rocks! (US),Fall Out Boy,"Dance, Dance"
PS3,Vol 3: Party Ed,Fall Out Boy,"This Ain't A Scene, It's An Arms Race"
PCSX2,Amped (DE),Fall Out Boy,"This Ain't A Scene, It's An Arms Race"
PCSX2,Pop Vol 2 (US),Fall Out Boy,Thnks Fr Th Mmrs
PS2,Hottest Hits,Fall Out Boy,Thnks Fr Th Mmrs
PS3,Vol 3: Party Ed,Feargal Sharkey,A Good Heart
PS3,Pop Edition,Feeling,Rose
PS3,Vol 3: Party Ed,Fergie,Big Girls Don't Cry
PCSX2,Pop Vol 2 (US),Fergie,Big Girls Don't Cry
PS2,Hottest Hits,Fergie,Clumsy
PS2,Hottest Hits,Finger Eleven,Paralyzer
PS2,Boy Bands vs Girl Bands,Five,Everybody Get Up
PS2,Boy Bands vs Girl Bands,Five,Keep On Movin'
PS2,Summer Party,Five Star,System Addict
PCSX2,Amped (US),Foo Fighters,Best Of You
PS2,80s,Foreigner,I Want to Know What Love Is
PS2,Popworld,Fountains of Wayne,Stacy's Mom
PS2,80s,Frankie Goes To Hollywood,The Power of Love
PS2,Rocks!,Franz Ferdinand,Do You Want To
PCSX2,Pop (US),Franz Ferdinand,Take Me Out
PS2,Party,Franz Ferdinand,Take Me Out
PCSX2,Amped (DE),Franz Ferdinand,Take Me Out
PS3,Vol 1,"Fratellis, The",Chelsea Dagger
PCSX2,Amped (DE),Free,Alright Now
PCSX2,Made In Germany,Fury In The Slaughterhouse,When I'm Dead And Gone
PS2,Hottest Hits,Gabriella Cilmi,Sweet About Me
PS2,Singstar,George Michael,Careless Whisper
PS2,Party,George Michael,Faith
PS3,Back To The 80s,George Michael,Faith
PS3,Vol 2,George Michael,Freedom '90
PS2,90s,Gin Blossoms,Hey Jealousy
PS2,Anthems,Girls Aloud,Biology
PS2,Summer Party,Girls Aloud,Call The Shots
PS2,Popworld,Girls Aloud,Love Machine
PS2,Boy Bands vs Girl Bands,Girls Aloud,The Show
PS3,Back To The 80s,Glenn Medeiros,Nothing's Gonna Change My Love For You
PS3,Pop Edition,Gloria Estefan,Rhythm Is Gonna Get You
PCSX2,Rocks! (US),Gloria Gaynor,I Will Survive
PS3,Dance,Gloria Gaynor,I Will Survive
PS2,Anthems,Gloria Gaynor,I Will Survive
PS2,Singstar,Good Charlotte,Girls & Boys
PCSX2,Rocks! (US),Good Charlotte,Girls & Boys
PCSX2,Amped (DE),Good Charlotte,I Don't Want To Be In Love (Dance Floor Anthem)
PCSX2,The Dome (DE),Good Charlotte,I Just Wanna Live
PS2,Popworld,Good Charlotte,I Just Wanna Live
PS3,Vol 2,Gorillaz,DARE
PCSX2,Pop (US),Gorillaz,Feel Good Inc.
PS3,Vol 1,Gorillaz,Feel Good Inc.
PS3,Vol 2,Gossip,Standing In The Way Of Control
PS3,Dance,Gossip,Standing In The Way Of Control
PCSX2,Amped (DE),Gotthard,Lift U Up
PCSX2,Made In Germany,Guano Apes,You Can't Stop Me
PS3,Vol 1,Gwen Stefani,Cool
PCSX2,Rocks! (US),Gwen Stefani,Cool
PS2,R & B,Gwen Stefani,Hollaback Girl
PS2,Rocks!,Gwen Stefani,What You Waiting For?
PS3,Dance,Gwen Stefani,What You Waiting For?
PS3,Vol 3: Party Ed,Gwen Stefani feat. Akon,The Sweet Escape
PCSX2,Pop Vol 2 (US),Gwen Stefani feat. Akon,The Sweet Escape
PS2,Boy Bands vs Girl Bands,Hanson,MMMBop
PS3,Vol 3: Party Ed,Happy Mondays,Kinky Afro
PS2,Rocks!,Hard-Fi,Hard to Beat
PS3,Chartbreaker,Harpo,Moviestar
PCSX2,Made In Germany,H-Blockx,Countdown To Insanity
PS2,Rock Ballads,Heart,Alone
PS3,Back To The 80s,Heart,Alone
PS3,Vol 3: Party Ed,Heaven 17,Temptation
PCSX2,Pop (US),Hinder,Lips Of An Angel
PS2,Rocks!,Hives,Hate to Say I Told You So
PS2,Rocks!,Hole,Celebrity Skin
PCSX2,The Dome (DE),Hoobastank,The Reason
PS2,Popworld,Hoobastank,The Reason
PCSX2,90s (US),Hootie & the Blowfish,Only Wanna Be with You
PS3,Vol 2,Hot Chocolate,You Sexy Thing
PS3,Back To The 80s,Human League,Don't You Want Me
PS3,Ultimate Party,Icona Pop feat. Charli XCX,I Love It
PCSX2,Amped (DE),Iggy Pop,Real Wild Child (Wild One)
PS2,R & B,Inner City,Good Life
PS3,Back To The 80s,J. Geils Band,Centerfold
PS3,Dance,The Jackson 5,I Want You Back
PS2,Boy Bands vs Girl Bands,Jade,Don't Walk Away
PCSX2,The Dome (DE),Jamelia,Stop
PS2,Popworld,Jamelia,Stop
PS2,Singstar,Jamelia,Superstar
PS2,R & B,Jamelia,Thank You
PCSX2,Pop (US),James Blunt,You're Beautiful
PS2,R & B,Jamiroquai,Alright
PS2,Party,Jamiroquai,Cosmic Girl
PS3,Dance,Jamiroquai,Cosmic Girl
PCSX2,Singstar (DE),Jamiroquai,Deeper Underground
PS2,Party,Javine,Real Things
PS2,Popworld,Jay Sean feat. The Rishi Rich Project,Eyes on You
PCSX2,Pop Vol 2 (US),Jennifer Lopez,Jenny From the Block
PS3,Back To The 80s,Jennifer Rush,The Power Of Love
PCSX2,Pop (US),Jesse McCartney,Beautiful Soul
PCSX2,90s (US),Jesus Jones,"Right Here, Right Now"
PS2,Rocks!,Jet,Are You Gonna Be My Girl?
PS3,Motown,Jimmy Ruffin,What Becomes Of The Broken Hearted
PS2,Motown,Jimmy Ruffin,What Becomes of the Broken Hearted
PS3,Ultimate Party,John Newman,Love Me Again
PS2,Rock Ballads,Jon Secada,Just Another Day (Without You)
PS3,Pop Edition,Jordin Sparks feat. Chris Brown,No Air
PS3,Chartbreaker,Joshua Kadison,Jessie
PCSX2,The Dome (DE),Joss Stone,Super Duper Love (Are You Diggin' on Me)
PS2,Popworld,Joss Stone,Super Duper Love (Are You Diggin' on Me)
PCSX2,Rocks! (US),Joss Stone,Super Duper Love (Are You Diggin' on Me)
PCSX2,Amped (DE),Judas Priest,Breaking The Law
PCSX2,Amped (DE),Judas Priest,You've Got Another Thing Comin'
PS3,Vol 1,Junior Senior,Move Your Feet
PS3,Vol 3: Party Ed,K.D. Lang,Constant Craving
PS2,Summer Party,Kaiser Chiefs,I Predict A Riot
PS3,Pop Edition,Kaiser Chiefs,Never Miss A Beat
PS3,Vol 2,Kaiser Chiefs,Ruby
PS2,Rocks!,Kasabian,Club Foot
PCSX2,Amped (DE),Kasabian,L.S.F.
PS3,Vol 3: Party Ed,Kate Bush,Babooshka
PS2,80s,Kate Bush,Running Up That Hill
PS3,Pop Edition,Kate Nash,Mouthwash
PS2,80s,Katrina And The Waves,Walking on Sunshine
PS3,Dance,KC & The Sunshine Band,That's The Way (I Like It)
PS2,Rocks!,Keane,Everybody's Changing
PCSX2,The Dome (DE),Keane,Somewhere Only We Know
PS2,Popworld,Keane,Somewhere Only We Know
PS3,Dance,Kid Cudi vs Crookers,Day 'n' Nite
PS3,Pop Edition,The Killers,Human
PS2,Rocks!,The Killers,Somebody Told Me
PS3,Vol 1,The Killers,Mr. Brightside
PS3,Vol 2,The Killers,When You Were Young
PS2,Rocks!,Killing Heidi,I Am
PS3,Back To The 80s,Kim Carnes,Bette Davis Eyes
PS2,Anthems,Kim Wilde,Kids in America
PCSX2,80s (US),Kim Wilde,Kids in America
PS3,Back To The 80s,Kim Wilde,You Keep Me Hangin' On
PS3,Back To The 80s,King,Love & Pride
PS3,Pop Edition,Kings Of Leon,Sex On Fire
PS2,Rocks!,Kings of Leon,The Bucket
PS3,Pop Edition,Klaxons,Gravity's Rainbow
PS2,Summer Party,Klaxons,It's Not Over Yet
PS3,Vol 2,Kool And The Gang,Celebration
PS3,Dance,Kool and the Gang,Celebration
PS2,Rocks!,KT Tunstall,Black Horse And The Cherry Tree
PS2,Summer Party,KT Tunstall,Suddenly I See
PS3,Ultimate Party,Kylie Minogue,Can't Get You Out Of My Head
PS2,Party,Kylie Minogue,I Should Be So Lucky
PCSX2,The Dome (DE),Kylie Minogue,In Your Eyes
PS2,Popworld,Kylie Minogue,In Your Eyes
PS3,Dance,La Roux,Bulletproof
PS2,Sing Along With Disney,Lady and the Tramp,He's A Tramp
PS3,Ultimate Party,Lady Gaga,Born This Way
PS3,Dance,Lady Gaga,Poker Face
PS2,Anthems,LeAnn Rimes,Can't Fight the Moonlight
PS2,Singstar,Lemar,50/50
PCSX2,90s (US),Len,Steal My Sunshine
PS3,Vol 3: Party Ed,Leo Sayer,You Make Me Feel Like Dancing
PS3,Vol 2,"Libertines, The",Can't Stand Me Now
PS2,Singstar,Liberty X,Just a Little
PCSX2,Pop Vol 2 (US),Lifehouse,First Time
PCSX2,Pop (US),Lifehouse,Hanging by a Moment
PCSX2,Singstar (DE),Lightning Seeds,Three Lions
PS2,Hottest Hits,Lily Allen,LDN
PCSX2,Pop Vol 2 (US),Lily Allen,Littlest Things
PCSX2,80s (DE),Limahl,Neverending Story
PS3,Vol 3: Party Ed,Lionel Richie,All Night Long
PS3,Ultimate Party,Lionel Richie,Hello
PS3,Motown,Lionel Richie,My Destiny
PS2,Motown,Lionel Richie,My Destiny
PS2,90s,Lisa Loeb,Stay (I Missed You)
PS3,Chartbreaker,Lisa Stansfield,All Around the World
PS3,Pop Edition,Little Jackie,The World Should Revolve Around Me
PS2,Party,Little Richard,Tutti Frutti
PCSX2,Pop Vol 2 (US),Lloyd,Get it Shawty
PS2,Rock Ballads,Lone Star,Amazed
PS3,Ultimate Party,Lorde,Royals
PS2,Summer Party,Lou Bega,Mambo No. 5
PS3,Vol 2,Lovin' Spoonful,Summer In The City
PS2,R & B,Luther Vandross,Never Too Much
PCSX2,Rocks! (US),Lynyrd Skynyrd,Sweet Home Alabama
PS2,90s,M People,Moving On Up
PS3,Vol 1,Macy Gray,I Try
PS2,Summer Party,Madness,House Of Fun
PS3,Pop Edition,Madness,It Must Be Love
PS2,80s,Madness,Our House
PS2,Singstar,Madonna,Like a Virgin
PS2,80s,Madonna,Material Girl
PS3,Vol 2,"Mamas & The Papas, The",California Dreamin'
PCSX2,Amped (DE),Mando Diao,Long Before Rock'n Roll
PCSX2,The Dome (DE),Manfred Mann,Do Wah Diddy Diddy
PS2,Popworld,Manfred Mann,Do Wah Diddy Diddy
PS3,Chartbreaker,Marc Almond & Gene Pitney,Something's Gotten Hold Of My Heart
PS2,Rock Ballads,Marc Cohn,Walking In Memphis
PCSX2,80s (DE),Marietta,Fire & Ice
PS2,80s,Marillion,Kayleigh
PS2,Popworld,Marilyn Manson,Personal Jesus
PS2,R & B,Mark Ronson feat. Daniel Merriweather,Stop Me
PCSX2,Pop Vol 2 (US),Maroon 5,Makes Me Wonder
PS2,Hottest Hits,Maroon 5,Makes Me Wonder
PS2,Party,Maroon 5,This Love
PS3,Chartbreaker,Marshall Hain,Dancing In The City
PS2,R & B,Martha Reeves & The Vandellas,Dancing In The Street
PS3,Motown,Martha Reeves & The Vandellas,Dancing In The Street
PS3,Motown,Martha Reeves & The Vandellas,Jimmy Mack
PS2,Motown,Martha Reeves & the Vandellas,Jimmy Mack
PS3,Motown,Martha Reeves & The Vandellas,Nowhere To Run
PS2,Motown,Martha Reeves & the Vandellas,Nowhere to Run
PCSX2,The Dome (DE),Martin Kesici,Angel of Berlin
PCSX2,Rocks! (US),Marvin Gaye,I Heard It Through the Grapevine
PS3,Motown,Marvin Gaye,I Heard It Through The Grapevine
PS3,Motown,Marvin Gaye,Let's Get It On
PS2,Motown,Marvin Gaye,Let's Get It On
PS3,Motown,Marvin Gaye,What's Going On?
PS2,Motown,Marvin Gaye,What's Going On
PS3,Motown,Marvin Gaye & Kim Weston,It Takes Two
PS2,Motown,Marvin Gaye & Kim Weston,It Takes Two
PS2,R & B,Marvin Gaye & Tammi Tarrell,Ain't No Mountain High Enough
PS3,Motown,Mary Wells,My Guy
PS2,Motown,Mary Wells,My Guy
PCSX2,Pop Vol 2 (US),Matchbox Twenty,How Far We've Come
PS3,Chartbreaker,Max Werner,Rain In May
PS3,Chartbreaker,Maxi Priest,Close To You
PS2,Rocks!,Maximo Park,Apply Some Pressure
PS3,Vol 2,Maximo Park,Our Velocity
PS3,Dance,MC Hammer,U Can't Touch This
PS2,90s,MC Hammer,U Can't Touch This
PS2,Boy Bands vs Girl Bands,McFly,5 Colours in Her Hair
PS2,Boy Bands vs Girl Bands,McFly,All About You
PCSX2,The Dome (DE),McFly,Obviously
PS2,Popworld,McFly,Obviously
PS2,Rock Ballads,Meat Loaf,I'd Do Anything For Love (But I Won't Do That)
PS2,Summer Party,Mel & Kim,Respectable
PS2,Boy Bands vs Girl Bands,Mel and Kim,Showing Out (Get Fresh at the Weekend)
PCSX2,Made In Germany,Melanie Thornton,Love How You Love Me
PCSX2,80s (US),Men at Work,Who Can It Be Now?
PS2,90s,Meredith Brooks,Bitch
PS3,Ultimate Party,Michael Buble,Haven't Met You Yet
PS3,Vol 3: Party Ed,Michael Jackson,Billie Jean
PCSX2,Pop Vol 2 (US),Michelle Branch,Breathe
PS2,Summer Party,Mika,Big Girl (You Are Beautiful)
PS2,Hottest Hits,Mika,Grace Kelly
PS2,Hottest Hits,Mika,Love Today
PCSX2,Made In Germany,Milli Vanilli,Girl You Know It's True
PS2,Boy Bands vs Girl Bands,Mis-Teeq,One Night Stand
PS2,Singstar,Mis-Teeq,Scandalous
PCSX2,80s (DE),Modern Talking,Cheri Cheri Lady
PS3,Vol 2,Morrissey,Suedehead
PS2,Singstar,Motorhead,Ace of Spades
PCSX2,Amped (US),Motorhead,Ace Of Spades
PS2,Rock Ballads,Mr Big,To Be With You
PS2,Rock Ballads,Mr Mister,Broken Wings
